EmployementKey,EducationKey,DiseaseKey,MedicalKey,NutritionKey,SubstanceKey,CrimeKey,CountryKey,sr_year,sr_month,average_age,suicide_rate
67,67,67,67,67,67,67,67,2007,jan-dec,39,6.4
68,68,68,68,68,68,68,68,2008,jan-dec,35,6.5
69,69,69,69,69,69,69,69,2009,jan-dec,36,6.6
70,70,70,70,70,70,70,70,2010,jan-dec,30,6.8
71,71,71,71,71,71,71,71,2011,jan-dec,36,6.5
72,72,72,72,72,72,72,72,2012,jan-dec,33,6.6
73,73,73,73,73,73,73,73,2013,jan-dec,29,6.3
74,74,74,74,74,74,74,74,2014,jan-dec,33,6.2
75,75,75,75,75,75,75,75,2015,jan-dec,30,5.9
76,76,76,76,76,76,76,76,2016,jan-dec,40,6.2
77,77,77,77,77,77,77,77,2017,jan-dec,37,6.3
78,78,78,78,78,78,78,78,2018,jan-dec,27,6.6
79,79,79,79,79,79,79,79,2019,jan-dec,26,6.7
80,80,80,80,80,80,80,80,2020,jan-dec,38,
81,81,81,81,81,81,81,81,2005,jan-dec,40,7.5
82,82,82,82,82,82,82,82,2006,jan-dec,39,7.5
83,83,83,83,83,83,83,83,2007,jan-dec,29,7.7
84,84,84,84,84,84,84,84,2008,jan-dec,32,7.5
85,85,85,85,85,85,85,85,2009,jan-dec,26,7.6
86,86,86,86,86,86,86,86,2010,jan-dec,26,7.7
87,87,87,87,87,87,87,87,2011,jan-dec,40,7.7
88,88,88,88,88,88,88,88,2012,jan-dec,29,7.6
89,89,89,89,89,89,89,89,2013,jan-dec,36,7.4
90,90,90,90,90,90,90,90,2014,jan-dec,39,7.1
91,91,91,91,91,91,91,91,2015,jan-dec,32,6.8
92,92,92,92,92,92,92,92,2016,jan-dec,34,6.7
93,93,93,93,93,93,93,93,2017,jan-dec,39,6.7
94,94,94,94,94,94,94,94,2018,jan-dec,35,6.6
95,95,95,95,95,95,95,95,2019,jan-dec,39,6.4
96,96,96,96,96,96,96,96,2020,jan-dec,40,
97,97,97,97,97,97,97,97,2005,jan-dec,28,28.6
98,98,98,98,98,98,98,98,2006,jan-dec,32,18.3
99,99,99,99,99,99,99,99,2007,jan-dec,28,20
100,100,100,100,100,100,100,100,2008,jan-dec,31,17.5
101,101,101,101,101,101,101,101,2009,jan-dec,40,22.7
102,102,102,102,102,102,102,102,2010,jan-dec,35,21.9
103,103,103,103,103,103,103,103,2011,jan-dec,37,17.9
104,104,104,104,104,104,104,104,2012,jan-dec,35,16.6
105,105,105,105,105,105,105,105,2013,jan-dec,26,15.2
106,106,106,106,106,106,106,106,2014,jan-dec,33,13.1
107,107,107,107,107,107,107,107,2015,jan-dec,26,15.1
108,108,108,108,108,108,108,108,2016,jan-dec,35,14.8
109,109,109,109,109,109,109,109,2017,jan-dec,31,14.4
110,110,110,110,110,110,110,110,2018,jan-dec,30,14.2
111,111,111,111,111,111,111,111,2019,jan-dec,27,14
112,112,112,112,112,112,112,112,2020,jan-dec,28,
113,113,113,113,113,113,113,113,2005,jan-dec,29,4.9
114,114,114,114,114,114,114,114,2006,jan-dec,26,5
115,115,115,115,115,115,115,115,2007,jan-dec,30,4.9
116,116,116,116,116,116,116,116,2008,jan-dec,28,4.7
117,117,117,117,117,117,117,117,2009,jan-dec,32,4.6
118,118,118,118,118,118,118,118,2010,jan-dec,39,4.4
119,119,119,119,119,119,119,119,2011,jan-dec,26,4
120,120,120,120,120,120,120,120,2012,jan-dec,28,3.7
121,121,121,121,121,121,121,121,2013,jan-dec,26,3.5
122,122,122,122,122,122,122,122,2014,jan-dec,34,3.5
123,123,123,123,123,123,123,123,2015,jan-dec,37,3.4
124,124,124,124,124,124,124,124,2016,jan-dec,37,3.4
125,125,125,125,125,125,125,125,2017,jan-dec,28,3.5
126,126,126,126,126,126,126,126,2018,jan-dec,32,3.6
127,127,127,127,127,127,127,127,2019,jan-dec,37,3.7
128,128,128,128,128,128,128,128,2020,jan-dec,31,
129,129,129,129,129,129,129,129,2005,jan-dec,35,8.1
130,130,130,130,130,130,130,130,2006,jan-dec,31,7.8
131,131,131,131,131,131,131,131,2007,jan-dec,36,7.7
132,132,132,132,132,132,132,132,2008,jan-dec,38,7.6
133,133,133,133,133,133,133,133,2009,jan-dec,29,7.4
134,134,134,134,134,134,134,134,2010,jan-dec,34,7.1
135,135,135,135,135,135,135,135,2011,jan-dec,34,6.7
136,136,136,136,136,136,136,136,2012,jan-dec,37,6.1
137,137,137,137,137,137,137,137,2013,jan-dec,36,5.7
138,138,138,138,138,138,138,138,2014,jan-dec,40,5.5
139,139,139,139,139,139,139,139,2015,jan-dec,31,5.5
140,140,140,140,140,140,140,140,2016,jan-dec,27,5.5
141,141,141,141,141,141,141,141,2017,jan-dec,31,5.4
142,142,142,142,142,142,142,142,2018,jan-dec,34,5.4
143,143,143,143,143,143,143,143,2019,jan-dec,31,5.4
144,144,144,144,144,144,144,144,2020,jan-dec,38,
