EmployementKey,EducationKey,DiseaseKey,MedicalKey,NutritionKey,SubstanceKey,CrimeKey,CountryKey,sr_year,sr_month,average_age,suicide_rate
84,84,84,84,84,84,84,84,2008,jan-dec,32,0.075
85,85,85,85,85,85,85,85,2009,jan-dec,26,0.076
86,86,86,86,86,86,86,86,2010,jan-dec,26,0.077
87,87,87,87,87,87,87,87,2011,jan-dec,40,0.077
88,88,88,88,88,88,88,88,2012,jan-dec,29,0.076
89,89,89,89,89,89,89,89,2013,jan-dec,36,0.074
90,90,90,90,90,90,90,90,2014,jan-dec,39,0.071
91,91,91,91,91,91,91,91,2015,jan-dec,32,0.068
92,92,92,92,92,92,92,92,2016,jan-dec,34,0.067
93,93,93,93,93,93,93,93,2017,jan-dec,39,0.067
94,94,94,94,94,94,94,94,2018,jan-dec,35,0.066
95,95,95,95,95,95,95,95,2019,jan-dec,39,0.064
96,96,96,96,96,96,96,96,2020,jan-dec,40,
97,97,97,97,97,97,97,97,2005,jan-dec,28,0.286
98,98,98,98,98,98,98,98,2006,jan-dec,32,0.183
99,99,99,99,99,99,99,99,2007,jan-dec,28,0.2
100,100,100,100,100,100,100,100,2008,jan-dec,31,0.175
101,101,101,101,101,101,101,101,2009,jan-dec,40,0.227
102,102,102,102,102,102,102,102,2010,jan-dec,35,0.219
103,103,103,103,103,103,103,103,2011,jan-dec,37,0.179
104,104,104,104,104,104,104,104,2012,jan-dec,35,0.166
105,105,105,105,105,105,105,105,2013,jan-dec,26,0.152
106,106,106,106,106,106,106,106,2014,jan-dec,33,0.131
107,107,107,107,107,107,107,107,2015,jan-dec,26,0.151
108,108,108,108,108,108,108,108,2016,jan-dec,35,0.148
109,109,109,109,109,109,109,109,2017,jan-dec,31,0.144
110,110,110,110,110,110,110,110,2018,jan-dec,30,0.142
111,111,111,111,111,111,111,111,2019,jan-dec,27,0.14
112,112,112,112,112,112,112,112,2020,jan-dec,28,
113,113,113,113,113,113,113,113,2005,jan-dec,29,0.049
114,114,114,114,114,114,114,114,2006,jan-dec,26,0.05
115,115,115,115,115,115,115,115,2007,jan-dec,30,0.049
116,116,116,116,116,116,116,116,2008,jan-dec,28,0.047
117,117,117,117,117,117,117,117,2009,jan-dec,32,0.046
118,118,118,118,118,118,118,118,2010,jan-dec,39,0.044
119,119,119,119,119,119,119,119,2011,jan-dec,26,0.04
120,120,120,120,120,120,120,120,2012,jan-dec,28,0.037
121,121,121,121,121,121,121,121,2013,jan-dec,26,0.035
122,122,122,122,122,122,122,122,2014,jan-dec,34,0.035
123,123,123,123,123,123,123,123,2015,jan-dec,37,0.034
124,124,124,124,124,124,124,124,2016,jan-dec,37,0.034
125,125,125,125,125,125,125,125,2017,jan-dec,28,0.035
126,126,126,126,126,126,126,126,2018,jan-dec,32,0.036
127,127,127,127,127,127,127,127,2019,jan-dec,37,0.037
128,128,128,128,128,128,128,128,2020,jan-dec,31,
129,129,129,129,129,129,129,129,2005,jan-dec,35,0.081
130,130,130,130,130,130,130,130,2006,jan-dec,31,0.078
131,131,131,131,131,131,131,131,2007,jan-dec,36,0.077
132,132,132,132,132,132,132,132,2008,jan-dec,38,0.076
133,133,133,133,133,133,133,133,2009,jan-dec,29,0.074
134,134,134,134,134,134,134,134,2010,jan-dec,34,0.071
135,135,135,135,135,135,135,135,2011,jan-dec,34,0.067
136,136,136,136,136,136,136,136,2012,jan-dec,37,0.061
137,137,137,137,137,137,137,137,2013,jan-dec,36,0.057
138,138,138,138,138,138,138,138,2014,jan-dec,40,0.055
139,139,139,139,139,139,139,139,2015,jan-dec,31,0.055
140,140,140,140,140,140,140,140,2016,jan-dec,27,0.055
141,141,141,141,141,141,141,141,2017,jan-dec,31,0.054
142,142,142,142,142,142,142,142,2018,jan-dec,34,0.054
143,143,143,143,143,143,143,143,2019,jan-dec,31,0.054
144,144,144,144,144,144,144,144,2020,jan-dec,38,
